[UE 3 | RBs:  1 ] Total Throughput = 0.90855 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.87192 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.53071 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.41212 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.31176 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.83859 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.98491 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.41212 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.54573 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.87317 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.07774 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.19518 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.47727 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.96794 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.98397 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.98316 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.09159 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.74711 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.31571 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.31307 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.63883 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.07480 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.32686 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.28541 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.16739 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35934 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.03173 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.01339 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.05356 Mbps
